Date,Time,Alt(m),VSpd(m/s),1RSS(dB),2RSS(dB),RQly(%),RSNR(dB),ANT,RFMD,TPWR(mW),TRSS(dB),TQly(%),TSNR(dB),GPS,GSpd(kmh),Hdg(°),Alt(m),Sats,RxBt(V),Curr(A),Capa(mAh),Bat%(%),Ptch(rad),Roll(rad),Yaw(rad),FM,Rud,Ele,Thr,Ail,P1,P2,SA,SB,SC,SD,SE,SF,SG,SH,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-02-13,14:24:06.120,0.1,0.0,-32,0,100,13,0,7,500,-22,100,13,31.984733 120.309839,0.2,128.10,0,19,16.9,1.1,5,87,0.16,-0.14,0.11,"AIR*",-2,11,-1024,30,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1501,1501,988,1507,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:06.620,0.1,0.0,-32,0,100,12,0,7,500,-20,100,13,31.984733 120.309838,0.3,128.10,0,18,16.9,0.9,5,87,0.16,-0.14,0.11,"AIR",-16,11,-1024,29,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1501,988,1500,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:07.120,0.1,0.0,-31,0,100,12,0,7,500,-21,100,12,31.984732 120.309838,0.0,128.10,0,19,16.8,0.8,5,86,0.16,-0.14,0.11,"AIR",-15,10,-1024,30,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1501,1501,988,1500,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:07.620,0.0,0.0,-30,0,100,12,0,7,500,-21,100,12,31.984732 120.309838,0.3,128.10,0,18,16.8,0.9,5,86,0.16,-0.14,0.11,"AIR",-13,11,-1024,31,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1501,1501,988,1501,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:08.120,0.1,0.0,-30,0,100,12,0,7,500,-19,100,13,31.984732 120.309837,0.1,128.10,0,18,16.9,0.9,5,86,0.16,-0.14,0.11,"AIR",-4,12,-1024,31,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1501,1502,988,1506,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:08.620,0.1,0.0,-30,0,100,12,0,7,500,-18,100,12,31.984732 120.309837,0.1,128.10,0,19,16.9,0.8,6,86,0.16,-0.14,0.11,"AIR",-12,5,-1024,31,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1501,1499,988,1502,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:09.120,0.1,0.0,-30,0,100,12,0,7,500,-21,100,13,31.984732 120.309837,0.0,128.10,0,19,16.8,0.9,6,86,0.16,-0.14,0.10,"AIR",-10,14,-1024,34,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1503,1503,988,1503,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:09.620,0.0,0.0,-30,0,100,12,0,7,500,-19,100,12,31.984732 120.309837,0.1,128.10,0,18,16.9,0.9,6,86,0.15,-0.14,0.10,"AIR",-6,11,-1024,40,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1506,1501,988,1505,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:10.120,0.0,0.0,-30,0,100,12,0,7,500,-19,100,12,31.984732 120.309836,0.2,128.10,0,19,16.9,0.9,6,86,0.15,-0.14,0.10,"AIR",7,7,-897,63,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1517,1500,1050,1511,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:10.620,0.0,0.0,-30,0,100,12,0,7,500,-21,100,13,31.984732 120.309836,0.1,128.10,0,19,16.8,0.9,6,86,0.16,-0.14,0.10,"AIR",50,16,-524,94,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1533,1504,1236,1533,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:11.120,0.0,0.0,-28,0,100,12,0,7,500,-13,100,12,31.984731 120.309835,2.4,230.00,0,19,16.8,2.8,6,85,0.15,-0.06,0.16,"AIR",-5,58,-363,31,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1501,1525,1317,1505,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:11.620,0.9,0.8,-23,0,100,12,0,7,500,-15,100,12,31.984729 120.309827,7.3,250.50,0,19,16.6,6.5,7,81,0.14,-0.06,0.19,"AIR",-16,180,-515,22,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1497,1586,1241,1500,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.8
2026-02-13,14:24:12.120,1.9,1.6,-24,0,100,13,0,7,500,-18,100,12,31.984725 120.309814,12.8,249.20,1,20,16.6,4.2,8,81,0.38,-0.08,0.20,"AIR",-20,85,-467,-25,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1474,1538,1265,1498,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:12.620,2.7,1.4,-29,0,100,12,0,7,500,-18,100,12,31.984719 120.309797,18.5,247.50,2,20,16.6,5.1,9,80,0.39,-0.11,0.19,"AIR",-13,15,-418,76,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1524,1503,1289,1501,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:13.120,4.0,2.3,-30,0,100,12,0,7,500,-21,100,13,31.984704 120.309760,27.5,244.30,3,19,16.6,5.4,9,80,0.38,-0.11,0.13,"AIR",-10,10,-397,24,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1498,1501,1300,1503,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:13.620,5.4,2.3,-33,0,100,12,0,7,500,-29,100,13,31.984687 120.309720,33.4,242.30,4,19,16.5,5.9,10,79,0.36,-0.09,0.00,"AIR",-17,-11,-379,22,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1497,1491,1309,1500,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:14.120,6.2,2.1,-40,0,100,13,0,7,500,-36,100,12,31.984687 120.309720,33.4,242.30,4,19,16.5,6.0,11,79,0.35,-0.09,-0.15,"AIR",-14,15,-378,27,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1503,1309,1501,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:14.620,7.8,2.4,-45,0,100,12,0,7,500,-36,100,12,31.984666 120.309672,39.3,242.60,5,20,16.5,6.2,12,78,0.35,-0.09,-0.37,"AIR",-14,15,-383,22,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1497,1503,1307,1501,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:15.120,9.1,2.5,-47,0,100,12,0,7,500,-37,100,13,31.984642 120.309617,43.7,242.80,7,20,16.5,6.0,13,77,0.35,-0.09,-0.61,"AIR",-12,4,-334,27,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1498,1331,1502,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:15.620,10.5,2.7,-50,0,100,13,0,7,500,-39,100,12,31.984610 120.309545,48.2,243.00,8,19,16.5,6.6,14,77,0.34,-0.10,-0.84,"AIR",-18,-27,-276,26,-1024,-899,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1499,1483,1360,1499,2012,988,2012,988,1051,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-02-13,14:24:16.120,12.5,3.2,-50,0,100,12,0,7,500,-46,100,12,31.984587 120.309494,51.2,243.10,9,19,16.4,7.6,15,76,0.33,-0.10,-1.02,"AIR",-18,-29,-259,28,-1024,-900,1,-1,-1,-1,1,-1,-1,-1,0x0000000000000000,1500,1482,1369,1499,2012,988,2012,988,1050,988,988,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
